,x,y,Cancer.cells,Fibroblast,MoMacDC
cosmx_bcc_xdonor_spot_0000000973,-129946.26776082903,86323.61852659882,1.0,0.0,0.0
cosmx_bcc_xdonor_spot_0000000974,-129952.81526082903,86707.54352659885,1.0,0.0,0.0
cosmx_bcc_xdonor_spot_0000000975,-129929.59811797184,86946.7435265988,0.8571428571428571,0.1428571428571428,0.0
cosmx_bcc_xdonor_spot_0000001077,-129669.059837598,79511.9793964263,0.8,0.0,0.0
cosmx_bcc_xdonor_spot_0000001082,-129621.059837598,81423.5793964263,0.0,0.0,0.0
cosmx_bcc_xdonor_spot_0000001083,-129535.42650426466,81823.44606309295,0.0,0.0,0.0
cosmx_bcc_xdonor_spot_0000001084,-129603.85983759802,82194.51272975963,0.0,0.0666666666666666,0.0
cosmx_bcc_xdonor_spot_0000001085,-129561.85074668894,82607.27939642634,0.1818181818181818,0.4545454545454545,0.1363636363636363
cosmx_bcc_xdonor_spot_0000001086,-129588.93145130521,82938.31495517027,0.0,0.5714285714285714,0.0476190476190476
cosmx_bcc_xdonor_spot_0000001087,-129597.80526082902,83315.64352659884,0.4,0.25,0.05
cosmx_bcc_xdonor_spot_0000001088,-129581.00071537447,83686.01625387152,0.2727272727272727,0.6363636363636364,0.0
cosmx_bcc_xdonor_spot_0000001089,-129625.05526082902,84069.64352659884,0.9,0.05,0.0
cosmx_bcc_xdonor_spot_0000001090,-129647.52668940045,84500.17209802738,1.0,0.0,0.0
cosmx_bcc_xdonor_spot_0000001091,-129585.74097511474,84813.45781231309,0.9285714285714286,0.0714285714285714,0.0
cosmx_bcc_xdonor_spot_0000001092,-129597.45526082903,85248.68102659882,1.0,0.0,0.0
cosmx_bcc_xdonor_spot_0000001093,-129592.21996671136,85630.21411483412,1.0,0.0,0.0
cosmx_bcc_xdonor_spot_0000001094,-129564.23303860679,85965.07685993216,1.0,0.0,0.0
cosmx_bcc_xdonor_spot_0000001095,-129574.3964372996,86330.97882071647,1.0,0.0,0.0
cosmx_bcc_xdonor_spot_0000001096,-129624.85526082902,86724.74352659883,0.95,0.05,0.0
cosmx_bcc_xdonor_spot_0000001097,-129565.95526082901,86956.16019326546,0.9166666666666666,0.0833333333333333,0.0
cosmx_bcc_xdonor_spot_0000001203,-129163.42650426466,81078.2793964263,0.0,0.0,0.0
cosmx_bcc_xdonor_spot_0000001205,-129175.259837598,81861.4793964263,0.2,0.1,0.1
cosmx_bcc_xdonor_spot_0000001206,-129201.02906836725,82155.08708873398,0.0,0.7692307692307693,0.0
cosmx_bcc_xdonor_spot_0000001207,-129174.80529214347,82618.9612146081,0.1818181818181818,0.3636363636363636,0.0
cosmx_bcc_xdonor_spot_0000001208,-129211.01081638457,82950.07685993216,0.8333333333333334,0.1666666666666666,0.0
cosmx_bcc_xdonor_spot_0000001209,-129207.28859416235,83295.68797104327,0.6111111111111112,0.3888888888888889,0.0
cosmx_bcc_xdonor_spot_0000001210,-129197.92192749568,83697.87685993215,0.8666666666666667,0.1333333333333333,0.0
cosmx_bcc_xdonor_spot_0000001211,-129191.27879024077,84098.6847030694,1.0,0.0,0.0
cosmx_bcc_xdonor_spot_0000001212,-129242.0706454444,84461.51275736802,1.0,0.0,0.0
cosmx_bcc_xdonor_spot_0000001213,-129179.12192749568,84809.68797104327,1.0,0.0,0.0
cosmx_bcc_xdonor_spot_0000001214,-129256.70526082898,85218.9935265988,0.875,0.0,0.0
cosmx_bcc_xdonor_spot_0000001215,-129192.89526082903,85593.46352659885,1.0,0.0,0.0
cosmx_bcc_xdonor_spot_0000001216,-129226.12192749568,85880.66019326546,0.9166666666666666,0.0833333333333333,0.0
cosmx_bcc_xdonor_spot_0000001217,-129197.23651082904,86321.96227659886,1.0,0.0,0.0
cosmx_bcc_xdonor_spot_0000001218,-129223.45526082903,86705.55602659882,0.875,0.0625,0.0625
cosmx_bcc_xdonor_spot_0000001219,-129256.655260829,86958.8435265988,1.0,0.0,0.0
cosmx_bcc_xdonor_spot_0000001323,-128787.059837598,80369.37939642629,0.0,0.0,0.0
cosmx_bcc_xdonor_spot_0000001325,-128788.259837598,81055.9793964263,0.0,0.0,0.0
cosmx_bcc_xdonor_spot_0000001326,-128841.92650426466,81459.66828531519,0.0,0.0,0.0
cosmx_bcc_xdonor_spot_0000001327,-128803.20720601908,81805.56887011054,0.0,0.6842105263157895,0.0
cosmx_bcc_xdonor_spot_0000001328,-128822.4741233123,82217.49368214059,0.0,0.7857142857142857,0.0714285714285714
cosmx_bcc_xdonor_spot_0000001329,-128793.6884090266,82571.68415833109,0.8095238095238095,0.0952380952380952,0.0
