spot,x,y,tumor_hat
cosmx_bcc_spot_0000019072,-480115.7326539395,-28523.563940514607,0.9985957586040122
cosmx_bcc_spot_0000019078,-480143.3744449374,-26355.98011594482,0.999434644480258
cosmx_bcc_spot_0000019360,-480136.7812780728,75752.175780519,0.9619287147375224
cosmx_bcc_spot_0000019364,-480122.67314799165,77212.17659352713,0.7778107195175668
cosmx_bcc_spot_0000019367,-480135.35981465824,78318.40992686045,0.8164520402747588
cosmx_bcc_spot_0000019482,-479885.85831590503,-26450.772742672943,0.9694140780739026
cosmx_bcc_spot_0000019655,-479777.8616630922,36343.455811690765,0.9944939594691976
cosmx_bcc_spot_0000019760,-479807.69704731466,74345.66862125827,0.9110699612282182
cosmx_bcc_spot_0000020069,-479416.80610753666,39919.24747835745,0.9843786684344182
cosmx_bcc_spot_0000020150,-479399.2866795217,69233.6260509045,0.999772767122632
cosmx_bcc_spot_0000020177,-479419.7255289437,78971.23849828898,8.676289562441987e-12
cosmx_bcc_spot_0000020469,-479056.23203346255,38453.75210798708,0.9662952108865056
cosmx_bcc_spot_0000020473,-479036.07944087,39911.70914502411,0.9679141158293624
cosmx_bcc_spot_0000020871,-478812.63944086997,37724.16414502409,0.982690805382851
cosmx_bcc_spot_0000020873,-478826.75055198115,38459.9002561352,0.9629228963388996
cosmx_bcc_spot_0000020964,-478664.8866795217,71420.61176519022,0.9999381724600286
cosmx_bcc_spot_0000021370,-478331.1664414264,72088.76057471403,0.9997596901193964
cosmx_bcc_spot_0000021781,-477825.68743967795,74584.3330382199,0.8999040336038704
cosmx_bcc_spot_0000022168,-477606.2831080932,68505.84390804735,0.9167382954427068
cosmx_bcc_spot_0000023386,-476490.48751985794,70714.1453786356,0.9801009473225908
cosmx_bcc_spot_0000023387,-476507.0414414266,71060.17724138068,0.999999996887681
cosmx_bcc_spot_0000023774,-476153.60757395416,64894.304336595196,0.0027788574577283
cosmx_bcc_spot_0000023792,-476136.9986486337,71417.48242156087,0.9806425990261778
cosmx_bcc_spot_0000024199,-475783.29231772624,72503.90864797596,0.9243200268813676
cosmx_bcc_spot_0000024205,-475806.36979261873,74623.08009704339,0.9889667421570532
cosmx_bcc_spot_0000024606,-475429.6749396776,73581.40178821987,0.8985835182401222
