spot,condition,Cancer.cells,Fibroblast,MoMacDC
cosmx_bcc_xdonor_spot_0000002413,Baseline,0.7,0.0,0.0
cosmx_bcc_xdonor_spot_0000002414,Baseline,0.9375,0.0,0.0625
cosmx_bcc_xdonor_spot_0000002415,Baseline,1.0,0.0,0.0
cosmx_bcc_xdonor_spot_0000002416,Baseline,1.0,0.0,0.0
cosmx_bcc_xdonor_spot_0000002417,Baseline,1.0,0.0,0.0
cosmx_bcc_xdonor_spot_0000002418,Baseline,1.0,0.0,0.0
cosmx_bcc_xdonor_spot_0000002419,Baseline,1.0,0.0,0.0
cosmx_bcc_xdonor_spot_0000002420,Baseline,1.0,0.0,0.0
cosmx_bcc_xdonor_spot_0000002421,Baseline,1.0,0.0,0.0
cosmx_bcc_xdonor_spot_0000002422,Baseline,1.0,0.0,0.0
cosmx_bcc_xdonor_spot_0000002423,Baseline,0.8461538461538461,0.0769230769230769,0.0769230769230769
cosmx_bcc_xdonor_spot_0000002424,Baseline,0.9375,0.0625,0.0
cosmx_bcc_xdonor_spot_0000002425,Baseline,1.0,0.0,0.0
cosmx_bcc_xdonor_spot_0000002426,Baseline,1.0,0.0,0.0
cosmx_bcc_xdonor_spot_0000002427,Baseline,1.0,0.0,0.0
cosmx_bcc_xdonor_spot_0000002695,Baseline,1.0,0.0,0.0
cosmx_bcc_xdonor_spot_0000002696,Baseline,1.0,0.0,0.0
cosmx_bcc_xdonor_spot_0000002697,Baseline,1.0,0.0,0.0
cosmx_bcc_xdonor_spot_0000002698,Baseline,1.0,0.0,0.0
cosmx_bcc_xdonor_spot_0000002699,Baseline,1.0,0.0,0.0
cosmx_bcc_xdonor_spot_0000002700,Baseline,0.75,0.0,0.0
cosmx_bcc_xdonor_spot_0000002701,Baseline,1.0,0.0,0.0
cosmx_bcc_xdonor_spot_0000002702,Baseline,1.0,0.0,0.0
cosmx_bcc_xdonor_spot_0000002703,Baseline,1.0,0.0,0.0
cosmx_bcc_xdonor_spot_0000002704,Baseline,0.9411764705882352,0.0,0.0588235294117647
