,x,y,Cancer.cells,Fibroblast,MoMacDC
cosmx_bcc_xdonor_spot_0000000691,-438805.3437004718,34897.949778119415,0.9,0.0,0.0
cosmx_bcc_xdonor_spot_0000000692,-438781.2937004718,35241.91819917205,1.0,0.0,0.0
cosmx_bcc_xdonor_spot_0000000693,-438804.34633205074,35628.44451496152,0.8947368421052632,0.0,0.0
cosmx_bcc_xdonor_spot_0000000694,-438809.51109177613,35996.46282159768,1.0,0.0,0.0
cosmx_bcc_xdonor_spot_0000000695,-438785.8137004718,36390.70977811942,0.92,0.0,0.0
cosmx_bcc_xdonor_spot_0000000696,-438770.2937004718,36780.025968595604,1.0,0.0,0.0
cosmx_bcc_xdonor_spot_0000000697,-438755.92527941917,37084.76030443521,0.9473684210526316,0.0,0.0
cosmx_bcc_xdonor_spot_0000000712,-438777.405553441,42884.4389058216,0.0,0.625,0.0
cosmx_bcc_xdonor_spot_0000000713,-438771.4779218623,43275.36653740056,0.0,0.0,0.0
cosmx_bcc_xdonor_spot_0000000714,-438804.7658475588,43637.66684699809,0.0,0.0,0.0
cosmx_bcc_xdonor_spot_0000000715,-438746.6214625319,43960.95026945796,0.0,0.2727272727272727,0.0
cosmx_bcc_xdonor_spot_0000000716,-438747.530553441,44411.61390582159,0.0,0.0,0.0
cosmx_bcc_xdonor_spot_0000000717,-438746.280553441,44748.48057248827,0.0,0.0,0.0
cosmx_bcc_xdonor_spot_0000000718,-438815.93055344105,45142.11390582159,0.2,0.0,0.0
cosmx_bcc_xdonor_spot_0000000779,-438759.5005755773,68336.36256672595,0.0,0.0,0.0
cosmx_bcc_xdonor_spot_0000000780,-438783.967242244,68662.02923339259,0.0,0.0,0.0
cosmx_bcc_xdonor_spot_0000000781,-438782.04224224394,69108.6542333926,0.125,0.25,0.125
cosmx_bcc_xdonor_spot_0000000782,-438778.1005755773,69398.82923339258,0.0,0.3333333333333333,0.2666666666666666
cosmx_bcc_xdonor_spot_0000000783,-438776.04224224394,69811.6542333926,0.0,0.875,0.125
cosmx_bcc_xdonor_spot_0000000784,-438792.5958136725,70208.88637624975,0.0,0.1428571428571428,0.0
cosmx_bcc_xdonor_spot_0000000785,-438738.36724224396,70537.2292333926,0.0,0.0,0.0
cosmx_bcc_xdonor_spot_0000000786,-438781.5958136725,70933.17209053545,0.0,0.5,0.0714285714285714
cosmx_bcc_xdonor_spot_0000000787,-438790.8731245969,71340.67629221611,0.5294117647058824,0.2352941176470588,0.0
cosmx_bcc_xdonor_spot_0000000788,-438748.7126967894,71719.02923339259,0.1818181818181818,0.6363636363636364,0.0
cosmx_bcc_xdonor_spot_0000000789,-438763.0958136725,72085.3149476783,0.6428571428571429,0.3571428571428571,0.0
cosmx_bcc_xdonor_spot_0000000790,-438803.04224224394,72356.5292333926,0.875,0.0,0.0
cosmx_bcc_xdonor_spot_0000000797,-438772.4630727451,75131.46257310057,0.125,0.25,0.25
cosmx_bcc_xdonor_spot_0000000798,-438800.2130727451,75530.90900167201,0.0,0.2857142857142857,0.1428571428571428
cosmx_bcc_xdonor_spot_0000000799,-438768.01307274506,75904.58757310058,0.0,0.0,0.0
cosmx_bcc_xdonor_spot_0000000800,-438788.0880727451,76265.33757310061,0.875,0.0,0.0
cosmx_bcc_xdonor_spot_0000000801,-438795.0592265912,76627.56834233136,0.8461538461538461,0.0,0.0384615384615384
cosmx_bcc_xdonor_spot_0000000802,-438787.5464060784,76969.93757310059,0.4666666666666667,0.3333333333333333,0.0666666666666666
cosmx_bcc_xdonor_spot_0000000803,-438795.1297394117,77379.50423976725,0.1666666666666666,0.5833333333333334,0.25
cosmx_bcc_xdonor_spot_0000000804,-438758.213072745,77781.83757310058,0.1,0.7,0.2
cosmx_bcc_xdonor_spot_0000000805,-438804.6836609804,78157.0434554535,0.1176470588235294,0.7647058823529411,0.1176470588235294
cosmx_bcc_xdonor_spot_0000000806,-438767.0255727451,78544.15007310057,0.5,0.5,0.0
cosmx_bcc_xdonor_spot_0000000807,-438787.6505727451,78902.4625731006,0.9375,0.0,0.0
cosmx_bcc_xdonor_spot_0000000808,-438768.6297394117,79184.42090643391,0.8333333333333334,0.0,0.0
cosmx_bcc_xdonor_spot_0000000830,-438352.6697058124,24599.050089202978,0.0,0.0,0.0
cosmx_bcc_xdonor_spot_0000000831,-438380.2093883521,24972.399295552183,0.0,0.0,0.0
cosmx_bcc_xdonor_spot_0000000832,-438350.098277241,25388.82151777441,0.0666666666666666,0.0666666666666666,0.0666666666666666
cosmx_bcc_xdonor_spot_0000000833,-438355.95542009815,25724.12151777441,0.1428571428571428,0.1428571428571428,0.3571428571428571
cosmx_bcc_xdonor_spot_0000000834,-438402.0394537116,26145.15092953912,0.2941176470588235,0.0,0.4117647058823529
cosmx_bcc_xdonor_spot_0000000835,-438339.96494390763,26548.42151777441,0.0666666666666666,0.4666666666666667,0.2666666666666666
cosmx_bcc_xdonor_spot_0000000836,-438363.098277241,26916.72151777441,0.05,0.35,0.45
cosmx_bcc_xdonor_spot_0000000837,-438398.223277241,27283.434017774412,0.25,0.0,0.5625
cosmx_bcc_xdonor_spot_0000000838,-438372.91645905917,27663.98515413805,0.4545454545454545,0.0,0.3181818181818182
cosmx_bcc_xdonor_spot_0000000839,-438381.3255499683,28016.71242686532,0.1363636363636363,0.1363636363636363,0.5909090909090909
cosmx_bcc_xdonor_spot_0000000840,-438383.098277241,28432.71242686532,0.0,0.0,0.5454545454545454
cosmx_bcc_xdonor_spot_0000000841,-438474.6959888569,28805.590131675344,0.0,0.25,0.375
cosmx_bcc_xdonor_spot_0000000842,-438404.99566194485,29196.835647946904,0.0,0.3333333333333333,0.25
cosmx_bcc_xdonor_spot_0000000843,-438378.43316194456,29568.460647946908,0.4375,0.125,0.375
cosmx_bcc_xdonor_spot_0000000844,-438363.0789952779,29904.335647946904,0.25,0.0,0.0
cosmx_bcc_xdonor_spot_0000000845,-438338.5865710357,30288.222011583264,0.1818181818181818,0.0909090909090909,0.0909090909090909
cosmx_bcc_xdonor_spot_0000000846,-438327.37066194456,30711.335647946897,0.25,0.0,0.375
cosmx_bcc_xdonor_spot_0000000847,-438413.96232861135,31090.78564794691,0.5333333333333333,0.0,0.0666666666666666
cosmx_bcc_xdonor_spot_0000000848,-438394.8434880316,31461.237821859955,1.0,0.0,0.0
cosmx_bcc_xdonor_spot_0000000849,-438404.13566194446,31858.305647946912,1.0,0.0,0.0
cosmx_bcc_xdonor_spot_0000000850,-438417.4123286112,32219.918981280247,0.9583333333333334,0.0416666666666666,0.0
cosmx_bcc_xdonor_spot_0000000851,-438430.12066194456,32574.960647946908,1.0,0.0,0.0
cosmx_bcc_xdonor_spot_0000000852,-438401.29442694306,32967.7482484259,1.0,0.0,0.0
cosmx_bcc_xdonor_spot_0000000853,-438438.82311223657,33359.90271929588,0.0,0.5882352941176471,0.4117647058823529
cosmx_bcc_xdonor_spot_0000000854,-438383.8437004718,33731.29977811941,0.0,0.7,0.2
cosmx_bcc_xdonor_spot_0000000855,-438420.96036713844,34131.04977811942,0.4166666666666667,0.4583333333333333,0.125
cosmx_bcc_xdonor_spot_0000000856,-438410.93006410816,34499.27705084669,0.9090909090909092,0.0,0.0
cosmx_bcc_xdonor_spot_0000000857,-438414.7937004718,34857.327555897195,0.9444444444444444,0.0,0.0
cosmx_bcc_xdonor_spot_0000000858,-438395.3937004718,35264.84977811942,1.0,0.0,0.0
cosmx_bcc_xdonor_spot_0000000859,-438402.2460814242,35658.40692097656,1.0,0.0,0.0
cosmx_bcc_xdonor_spot_0000000860,-438438.6270338051,36010.216444786085,1.0,0.0,0.0
cosmx_bcc_xdonor_spot_0000000861,-438392.44754662557,36417.4728550425,1.0,0.0,0.0
cosmx_bcc_xdonor_spot_0000000862,-438407.5664277445,36753.77705084669,1.0,0.0,0.0
cosmx_bcc_xdonor_spot_0000000863,-438365.82703380525,37084.01644478608,1.0,0.0,0.0
cosmx_bcc_xdonor_spot_0000000878,-438402.6972201077,42902.48057248826,0.0,0.75,0.25
cosmx_bcc_xdonor_spot_0000000879,-438397.1972201077,43237.20279471049,0.1111111111111111,0.1111111111111111,0.1111111111111111
cosmx_bcc_xdonor_spot_0000000880,-438411.96805344115,43544.688905821604,0.0,0.0,0.0
cosmx_bcc_xdonor_spot_0000000881,-438445.0638867745,44001.91390582161,0.0,0.0,0.0
cosmx_bcc_xdonor_spot_0000000882,-438374.530553441,44359.14723915493,0.0,0.3333333333333333,0.0
cosmx_bcc_xdonor_spot_0000000883,-438380.5305534411,44701.242477250176,0.0,0.0,0.0
cosmx_bcc_xdonor_spot_0000000884,-438391.88769629825,45092.742477250176,0.0,0.0,0.0
cosmx_bcc_xdonor_spot_0000000885,-438335.530553441,45445.913905821595,0.0,0.0,0.0
cosmx_bcc_xdonor_spot_0000000886,-438344.330553441,45881.913905821595,0.4,0.0,0.0
cosmx_bcc_xdonor_spot_0000000945,-438384.267242244,68312.02923339259,0.0,0.0,0.0
cosmx_bcc_xdonor_spot_0000000946,-438417.83390891063,68673.14034450371,0.0,0.4444444444444444,0.1111111111111111
cosmx_bcc_xdonor_spot_0000000947,-438394.79224224394,69055.4042333926,0.0,0.5,0.0
cosmx_bcc_xdonor_spot_0000000948,-438397.91724224394,69371.0292333926,0.0,0.375,0.125
cosmx_bcc_xdonor_spot_0000000949,-438339.16724224394,69813.9042333926,0.0,0.875,0.0
cosmx_bcc_xdonor_spot_0000000950,-438413.16724224394,70203.95231031567,0.3846153846153846,0.0,0.0
cosmx_bcc_xdonor_spot_0000000951,-438406.767242244,70567.37923339258,0.6,0.1,0.0
cosmx_bcc_xdonor_spot_0000000952,-438346.6287807055,70933.18307954643,0.3076923076923077,0.6923076923076923,0.0
cosmx_bcc_xdonor_spot_0000000953,-438406.41724224394,71359.02923339259,0.6666666666666666,0.3333333333333333,0.0
cosmx_bcc_xdonor_spot_0000000954,-438391.6910517678,71752.12447148783,0.4761904761904761,0.4285714285714285,0.0952380952380952
cosmx_bcc_xdonor_spot_0000000955,-438436.38152795826,72064.88637624973,0.2142857142857142,0.6428571428571429,0.0714285714285714
cosmx_bcc_xdonor_spot_0000000956,-438433.66724224394,72355.9042333926,0.25,0.75,0.0
cosmx_bcc_xdonor_spot_0000000963,-438415.8559298879,75147.98043024342,0.0,0.5714285714285714,0.1428571428571428
cosmx_bcc_xdonor_spot_0000000964,-438354.49878703075,75497.48043024342,0.0,0.6428571428571429,0.0714285714285714
cosmx_bcc_xdonor_spot_0000000965,-438423.0464060784,75892.78201754502,0.0,0.6111111111111112,0.0555555555555555
cosmx_bcc_xdonor_spot_0000000966,-438455.63412537664,76251.75862573215,0.1578947368421052,0.0526315789473684,0.0
cosmx_bcc_xdonor_spot_0000000967,-438435.73938853457,76635.23230994269,0.3684210526315789,0.631578947368421,0.0
cosmx_bcc_xdonor_spot_0000000968,-438427.2755727451,77011.0250731006,0.4375,0.4375,0.125
cosmx_bcc_xdonor_spot_0000000969,-438413.27189627447,77400.04345545352,0.7058823529411765,0.2941176470588235,0.0
cosmx_bcc_xdonor_spot_0000000970,-438381.6892632212,77804.48043024343,1.0,0.0,0.0
