spot,x,y,tumor_hat
cosmx_bcc_spot_0000002673,-495028.55086645787,31237.16806602565,0.5088007096706774
cosmx_bcc_spot_0000002674,-494977.5565055557,31602.367314145966,0.812895010108532
cosmx_bcc_spot_0000002675,-494979.4703711018,31927.186641877037,0.14690881135591466
cosmx_bcc_spot_0000002676,-494966.8821358077,32328.716053641743,0.7599483842331077
cosmx_bcc_spot_0000002677,-494971.15507698426,32658.77017128882,0.967643553550943
cosmx_bcc_spot_0000002678,-494977.8761026251,33040.010171288835,0.9667767151194362
cosmx_bcc_spot_0000002679,-494995.16364841285,33396.76017128882,0.9287700730668317
cosmx_bcc_spot_0000002680,-494986.30664538196,33745.19265912411,0.9465413962456578
cosmx_bcc_spot_0000002681,-494991.2266638984,34126.52268855805,0.9594558838378917
cosmx_bcc_spot_0000002682,-494998.4616869398,34465.90287288985,0.9512377920537125
cosmx_bcc_spot_0000002683,-495011.983115511,34820.67430146129,0.9151455937332431
cosmx_bcc_spot_0000002684,-494962.7131155112,35235.25430146128,0.8453494742183649
cosmx_bcc_spot_0000002685,-494983.28311551124,35560.807634794626,0.965154690302148
cosmx_bcc_spot_0000002686,-494979.29237477045,35903.75207923906,0.9394933803709002
cosmx_bcc_spot_0000002687,-494963.9974012255,36281.43858717556,0.978910059498622
cosmx_bcc_spot_0000002688,-494953.18696166505,36627.12814761513,0.9287947139714665
cosmx_bcc_spot_0000002689,-495000.32723315794,37042.503713226004,0.7765185287123262
cosmx_bcc_spot_0000002690,-495015.7474012255,37387.72430146127,0.9898534754614486
cosmx_bcc_spot_0000002691,-494993.48048393225,37742.15851198761,0.982886113089808
cosmx_bcc_spot_0000002692,-495044.17597265384,37965.9743014613,0.9872217868656399
cosmx_bcc_spot_0000003074,-494636.0684103174,30163.176837955467,0.10467089188369291
cosmx_bcc_spot_0000003075,-494626.9850769842,30507.801837955474,0.09059474935780139
cosmx_bcc_spot_0000003076,-494636.3461880953,30868.399060177693,0.13785768966495918
cosmx_bcc_spot_0000003077,-494596.1824454052,31223.694381815123,0.010538247236991363
cosmx_bcc_spot_0000003078,-494635.2350769841,31587.0101712888,0.31062799661764684
cosmx_bcc_spot_0000003079,-494605.2350769842,31960.58911865723,0.31452507750907555
cosmx_bcc_spot_0000003080,-494636.94936269853,32297.90302843168,0.9606201614993316
cosmx_bcc_spot_0000003081,-494629.45129320037,32662.388549667212,0.9858033538302897
cosmx_bcc_spot_0000003082,-494631.5508664578,33015.48385549936,0.9551089395686567
cosmx_bcc_spot_0000003083,-494613.5291946312,33417.0101712888,0.3428861165603046
cosmx_bcc_spot_0000003084,-494613.57072735723,33756.65621862429,0.9504869470147838
cosmx_bcc_spot_0000003085,-494635.3247821778,34104.34930146128,0.6819467786306974
cosmx_bcc_spot_0000003086,-494648.4678981198,34469.496040591715,0.7317569145432307
cosmx_bcc_spot_0000003087,-494625.98311551113,34861.62430146129,0.8755394142265694
cosmx_bcc_spot_0000003088,-494642.1164488445,35201.30763479461,0.8384919694824653
cosmx_bcc_spot_0000003089,-494643.0018655113,35558.84930146128,0.8592477133762803
cosmx_bcc_spot_0000003090,-494625.07857005653,35916.201574188555,0.7263951092233215
cosmx_bcc_spot_0000003091,-494646.6694791475,36303.97430146128,0.9027394259380197
cosmx_bcc_spot_0000003092,-494655.78311551124,36624.33144431842,0.8940449641968173
cosmx_bcc_spot_0000003093,-494572.2962734057,37008.02693304024,0.3310757672095636
cosmx_bcc_spot_0000003094,-494600.27311551117,37366.214301461274,0.22896781762707086
cosmx_bcc_spot_0000003095,-494594.0653735758,37732.68397888063,1.031421161984073e-15
cosmx_bcc_spot_0000003096,-494614.94220642,37984.06521055221,7.144985632984916e-16
cosmx_bcc_spot_0000003478,-494286.8714406204,30211.101080379707,1.1169269633192502e-07
cosmx_bcc_spot_0000003479,-494216.59871334786,30483.05562583426,0.20239243255713665
cosmx_bcc_spot_0000003480,-494238.975817725,30868.343504622157,0.2697766162223908
cosmx_bcc_spot_0000003481,-494251.758886508,31235.343504622146,2.5494158966161913e-11
cosmx_bcc_spot_0000003482,-494263.4850769842,31555.01017128881,0.0028058779452559265
cosmx_bcc_spot_0000003483,-494252.7350769841,31937.84350462213,0.25109636958166465
cosmx_bcc_spot_0000003484,-494273.9017436509,32339.760171288817,0.6188433087614544
cosmx_bcc_spot_0000003485,-494291.5078042569,32671.146534925178,0.5557273115585203
cosmx_bcc_spot_0000003486,-494246.23507698416,33055.121282399916,0.33428137324421014
cosmx_bcc_spot_0000003487,-494239.9493626984,33378.08159986023,0.3977886216339117
cosmx_bcc_spot_0000003488,-494255.72237085394,33751.23725815092,0.8065882725694008
cosmx_bcc_spot_0000003489,-494240.5113763807,34123.75691015693,0.9635657994467067
cosmx_bcc_spot_0000003490,-494258.3023462804,34482.24353223051,0.7989386772237584
cosmx_bcc_spot_0000003491,-494240.19311551115,34856.21430146128,0.8825767927263349
cosmx_bcc_spot_0000003492,-494216.9986327526,35205.59499111645,0.9281233847022489
cosmx_bcc_spot_0000003493,-494211.1100385881,35583.01276299974,0.8759875769999005
cosmx_bcc_spot_0000003494,-494201.99311551114,35944.974301461276,0.8906254086585711
cosmx_bcc_spot_0000003495,-494231.98963725026,36302.8003884178,0.9061678949930021
cosmx_bcc_spot_0000003496,-494235.8902583684,36653.745730032715,0.944759875962807
cosmx_bcc_spot_0000003497,-494238.5558427837,37014.26975600676,0.9326164729901677
cosmx_bcc_spot_0000003498,-494255.8902583682,37387.59334908035,0.9971920379663324
cosmx_bcc_spot_0000003499,-494245.3664488446,37708.840968127945,0.9494535900820511
cosmx_bcc_spot_0000003500,-494364.3664488443,37993.80763479463,7.79636301186931e-05
cosmx_bcc_spot_0000003582,-494243.15914728603,67790.2534348918,0.04987523075568891
cosmx_bcc_spot_0000003583,-494227.75914728607,68167.85343489182,0.037012651313932866
cosmx_bcc_spot_0000003584,-494184.62581395253,68548.29787933629,0.5422881506091509
cosmx_bcc_spot_0000003585,-494237.2805758572,68903.96057774899,0.9231599598049278
cosmx_bcc_spot_0000003586,-494215.3437626706,69224.89189643029,0.7883842029611506
cosmx_bcc_spot_0000003587,-494322.75914728607,69597.15343489182,0.5801241281637008
cosmx_bcc_spot_0000003588,-494300.54738258,69963.88284665653,0.9737483701318649
cosmx_bcc_spot_0000003589,-494223.75914728607,70448.35343489182,0.534077002379291
cosmx_bcc_spot_0000003590,-494248.6791472858,70717.43343489186,0.704769592132285
cosmx_bcc_spot_0000003591,-494250.84803617495,70955.90899044737,0.7431210432851452
cosmx_bcc_spot_0000003883,-493906.9409593371,30512.539583053505,0.1674105034045057
cosmx_bcc_spot_0000003884,-493867.28269603185,30820.819695098337,0.35968197738411095
cosmx_bcc_spot_0000003885,-493913.7350769843,31213.4332482119,0.0053504573005947065
cosmx_bcc_spot_0000003886,-493845.47507698426,31577.29017128882,0.6805868106290048
cosmx_bcc_spot_0000003887,-493878.6143873291,31927.941205771585,0.7947952572391285
cosmx_bcc_spot_0000003888,-493870.6054473546,32310.195356474007,0.7372434842430861
cosmx_bcc_spot_0000003889,-493888.965846215,32667.20247898113,0.9404903501690861
cosmx_bcc_spot_0000003890,-493889.61969236884,32999.51017128882,0.7285613624405263
cosmx_bcc_spot_0000003891,-493877.2922198414,33425.0387427174,0.9730730121358644
cosmx_bcc_spot_0000003892,-493901.7922490728,33757.60221924712,0.9746420822450015
cosmx_bcc_spot_0000003893,-493889.30584278406,34141.034907521884,0.9782044017694471
