,Bcell,Cancer.cells,Endothelial,Fibroblast,Melanocyte,MoMacDC,Neutrophil,Normal.Kerat,Pericyte,PlasmaCell,Tcell
cosmx_bcc_spot_0000051001,1.8829919753510552e-15,0.8454943420213588,1.5401946146114083e-05,1.8829919753510552e-15,0.14374494405322516,1.8829919753510552e-15,0.007467279731756809,1.8829919753510552e-15,0.003278032247501471,1.8829919753510552e-15,1.8829919753510552e-15
cosmx_bcc_spot_0000051006,1.9195186046343807e-15,0.9974422485820524,2.266789745867171e-14,1.9195186046343807e-15,0.001763440632315618,1.9195186046343807e-15,0.000794310785595535,1.9195186046343807e-15,1.9195186046343807e-15,1.9195186046343807e-15,1.9195186046343807e-15
cosmx_bcc_spot_0000051008,1.0635557289260047e-13,0.786005169245012,0.01571051080476823,0.04958930678153694,0.09025956139863173,1.8995794638463e-15,0.008715813735398705,1.8995794638463e-15,0.04971963803453838,1.8995794638463e-15,1.8995794638463e-15
cosmx_bcc_spot_0000051010,1.9024967140646913e-15,0.8662879979347939,1.9024967140646913e-15,1.9024967140646913e-15,0.1337120020651885,1.9024967140646913e-15,1.9024967140646913e-15,1.9024967140646913e-15,1.9024967140646913e-15,1.9024967140646913e-15,1.9024967140646913e-15
cosmx_bcc_spot_0000051411,1.8362722139203186e-15,0.8358936016558753,1.8362722139203186e-15,0.051300439318402676,0.11166124144142704,1.8362722139203186e-15,0.0011447175842816707,1.8362722139203186e-15,1.8362722139203186e-15,1.8362722139203186e-15,1.8362722139203186e-15
cosmx_bcc_spot_0000051412,1.8781946383649574e-15,0.9946089677611123,1.8781946383649574e-15,1.8781946383649574e-15,0.00539103184118759,1.8781946383649574e-15,3.9768465871448765e-10,1.8781946383649574e-15,1.8781946383649574e-15,1.8781946383649574e-15,1.8781946383649574e-15
cosmx_bcc_spot_0000052221,1.9483714936595824e-15,0.9590591503911269,1.3573676034019535e-10,1.9483714936595824e-15,0.03428923569580999,1.9483714936595824e-15,0.006651613777312476,1.9483714936595824e-15,1.9483714936595824e-15,1.9483714936595824e-15,1.9483714936595824e-15
cosmx_bcc_spot_0000054241,1.950619858755547e-15,0.9952870259128701,2.3456873598773347e-11,2.5651454386018196e-13,0.0010685238476188233,1.950619858755547e-15,0.0036444502157858332,1.950619858755547e-15,1.950619858755547e-15,1.950619858755547e-15,1.950619858755547e-15
cosmx_bcc_spot_0000054643,0.1329173911817401,0.5759516381809047,0.024204758184658354,0.03547673141382888,0.20649030186876946,0.01081892544564079,0.0005500020505361218,1.9702821887519046e-15,0.013590246131002345,1.9702821887519046e-15,5.54291517741477e-09
cosmx_bcc_spot_0000054644,1.9570742951410567e-15,0.9773716046495243,5.304456248967766e-09,1.9570742951410567e-15,0.01704639302411423,1.9570742951410567e-15,0.005581997021891182,1.9570742951410567e-15,1.9570742951410567e-15,1.9570742951410567e-15,1.9570742951410567e-15
cosmx_bcc_spot_0000055047,6.958234226267645e-06,0.7365431675139983,1.6775698824829698e-06,2.081973998703779e-15,0.24139242187016136,2.081973998703779e-15,0.021753044154478977,2.081973998703779e-15,2.081973998703779e-15,0.00030272005287713055,1.0604366766393058e-08
cosmx_bcc_spot_0000055448,7.09212010893198e-07,2.510185436549462e-06,0.06646407866900955,0.28170540201438143,0.5636685099127279,1.984175300662341e-15,0.020080431356857997,1.984175300662341e-15,0.06807835864956763,1.984175300662341e-15,1.984175300662341e-15
cosmx_bcc_spot_0000055455,0.05591114680525716,0.008855683258332006,0.1771528077266046,0.1001004466646706,0.5524849694466947,0.06965834592856002,0.017781240274654993,1.8679113918408087e-15,2.7518993028631245e-06,1.8679113918408087e-15,0.01805260799591938
cosmx_bcc_spot_0000055853,0.00021185576704590243,0.05337081415042799,3.153756178186775e-05,0.01098743681355424,0.8588479666848511,2.0008268933642034e-15,0.05745116570638141,7.283456207238186e-15,3.270491408749233e-14,0.01909922331591333,2.0008268933642034e-15
cosmx_bcc_spot_0000063692,1.6901881162488738e-15,0.7242587924359404,1.6901881162488738e-15,0.18059276790707468,1.6901881162488738e-15,1.6901881162488738e-15,1.6901881162488738e-15,0.050283243179492336,0.044844107174672326,2.1089302809978746e-05,1.6901881162488738e-15
cosmx_bcc_spot_0000063693,1.3989293018063255e-14,0.3585702549558304,1.0924938303160753e-08,0.4013261570911396,1.7162621687159147e-15,0.15017886378231038,1.7162621687159147e-15,0.025940980945764674,0.06398373229997163,1.7162621687159147e-15,2.5667958412369712e-14
cosmx_bcc_spot_0000064497,1.7678093484657106e-15,0.821084121312732,1.393518386394324e-10,0.020187538596303213,3.349993611431254e-06,1.7678093484657106e-15,1.7678093484657106e-15,0.11728306002276853,0.028115916578934076,0.013326013356290634,2.6607766835793826e-15
cosmx_bcc_spot_0000064900,1.7463499799468135e-15,0.8139289790071749,5.377088207869327e-10,4.5677582946381515e-06,0.002579556581040348,1.5953570434274764e-10,6.752965406043821e-14,0.10053483955836376,0.07426452741848256,0.008687528979328273,1.7463499799468135e-15
cosmx_bcc_spot_0000064901,1.6089444482975763e-15,0.9024208835053837,1.8740433968024894e-14,1.6089444482975763e-15,1.6089444482975763e-15,1.6089444482975763e-15,1.6089444482975763e-15,0.07524728049735056,0.0028592931037507516,0.01947254289348638,1.6089444482975763e-15
cosmx_bcc_spot_0000064997,1.2798116213894586e-09,0.0414211037586947,0.00011197420794497857,0.05672563611800006,0.0012695707659681906,5.369308371874384e-06,1.833692379738804e-15,0.8991128527409621,1.0008476339462955e-07,0.001353391731764526,3.716931204462415e-12
cosmx_bcc_spot_0000065002,1.769597064562852e-15,0.2879623824301306,1.501317178189361e-14,0.5308063563809168,1.6937262329352724e-14,1.769597064562852e-15,1.769597064562852e-15,0.18106697983586265,0.00016428135304895407,1.769597064562852e-15,1.769597064562852e-15
cosmx_bcc_spot_0000065290,0.007605646712709403,0.11332664117787854,0.05975080402133463,2.0162848594323235e-15,0.5103303891055475,2.81305863185663e-11,0.07968087886351574,0.07355879176973747,2.0162848594323235e-15,0.0253846158608762,0.13036223246026582
cosmx_bcc_spot_0000065307,1.7058007905409433e-15,0.9360672477017739,6.067214081347187e-09,1.7058007905409433e-15,0.022889230025557376,1.7058007905409433e-15,1.7058007905409433e-15,0.02874122643510461,2.8507453995575693e-07,0.012302004695801245,1.7058007905409433e-15
cosmx_bcc_spot_0000065398,0.0018525631494266397,1.3140544663652182e-10,0.001651262306846729,0.15425135923924288,0.3019831235545225,0.09532410174075674,5.762353166388867e-15,0.41764334539912007,0.026261520009769945,0.0010310276321351325,1.6968367680254622e-06
