,Bcell,Cancer.cells,Endothelial,Fibroblast,Melanocyte,MoMacDC,Neutrophil,Normal.Kerat,Pericyte,PlasmaCell,Tcell
cosmx_bcc_spot_0000047346,7.728892485826119e-15,0.6539694050560952,8.289742606221158e-06,0.1027659300564989,0.22241559068749905,2.051617810319534e-15,0.0015751673179883212,1.0890591963548541e-13,0.019265616830629172,2.051617810319534e-15,3.085622904722974e-10
cosmx_bcc_spot_0000047364,1.907057236237842e-15,0.9828146919694988,9.040253803996904e-12,1.907057236237842e-15,0.01662462969193775,1.907057236237842e-15,0.0005606783059598997,1.907057236237842e-15,2.3551646445990676e-11,1.907057236237842e-15,1.907057236237842e-15
cosmx_bcc_spot_0000047365,5.1322449079117e-15,0.8740143513691375,5.632295755601613e-13,1.1409938394941567e-09,0.1222221037994175,1.911661101421563e-15,0.003763543673138995,2.936349007781088e-13,1.911661101421563e-15,1.911661101421563e-15,1.644456339357245e-11
cosmx_bcc_spot_0000047366,1.905039571469871e-15,0.9873510944310776,6.424382026024163e-10,1.659378793881329e-08,0.010753148913319856,1.905039571469871e-15,0.001895739419339989,1.905039571469871e-15,1.905039571469871e-15,1.905039571469871e-15,2.6537858865332072e-14
cosmx_bcc_spot_0000047367,1.8899038557040034e-15,0.9406227657661665,9.042607770284865e-15,2.632568572853837e-15,0.057443257314797685,1.8899038557040034e-15,0.0019339769187032047,1.8899038557040034e-15,3.1114290364090366e-13,1.8899038557040034e-15,1.8899038557040034e-15
cosmx_bcc_spot_0000047368,1.8766260858785826e-15,0.871257558505002,0.0001453696709994566,0.018630724712133433,0.10996632207718456,1.8766260858785826e-15,7.682003331468247e-12,1.8766260858785826e-15,2.5026988947672233e-08,1.8766260858785826e-15,1.8766260858785826e-15
cosmx_bcc_spot_0000047369,3.250288179983923e-14,0.8415998605088773,1.1157721137186605e-05,6.433320130784465e-11,0.1472583609172141,1.958119708055996e-15,0.009999451388629961,1.958119708055996e-15,0.001131169399704585,1.958119708055996e-15,6.51778825494667e-14
cosmx_bcc_spot_0000047370,1.958495358142821e-15,0.7040206472195207,3.2453630394141497e-06,1.958495358142821e-15,0.2926913099985503,1.958495358142821e-15,0.003284797418483046,1.958495358142821e-15,2.1122024410930473e-13,1.958495358142821e-15,1.8522642236080568e-13
cosmx_bcc_spot_0000047371,2.217979730696719e-15,0.3069654400940018,9.372582558395615e-05,0.2571558668885992,0.419836528744538,2.0213089364131795e-15,0.015947687808604533,2.0213089364131795e-15,7.50638588620822e-07,2.0213089364131795e-15,7.537071007908487e-14
cosmx_bcc_spot_0000047372,1.0475459155701685e-12,0.9574357032908936,1.4034330766143845e-07,0.013938222612368859,0.020064414826829028,1.976674208024072e-15,0.008561518847108162,1.976674208024072e-15,7.832778257068957e-11,1.976674208024072e-15,1.1132825742723782e-13
