,x,y,Cancer.cells,Fibroblast,MoMacDC
cosmx_bcc_xdonor_spot_0000001812,-191549.34536597773,-39943.228722679916,1.0,0.0,0.0
cosmx_bcc_xdonor_spot_0000001813,-191552.08483966193,-39613.873459522016,1.0,0.0,0.0
cosmx_bcc_xdonor_spot_0000001814,-191597.8995455443,-39275.18228305143,1.0,0.0,0.0
cosmx_bcc_xdonor_spot_0000001815,-191590.96092661846,-38939.38432908724,1.0,0.0,0.0
cosmx_bcc_xdonor_spot_0000001816,-191595.26527444457,-38541.77563343506,1.0,0.0,0.0
cosmx_bcc_xdonor_spot_0000001817,-191590.90756693465,-38176.850732249295,1.0,0.0,0.0
cosmx_bcc_xdonor_spot_0000001818,-191576.63506860484,-37830.59411195821,1.0,0.0,0.0
cosmx_bcc_xdonor_spot_0000001819,-191592.88941643093,-37488.359329349514,1.0,0.0,0.0
cosmx_bcc_xdonor_spot_0000001820,-191594.40608309762,-37138.959329349505,1.0,0.0,0.0
cosmx_bcc_xdonor_spot_0000001821,-191582.46882819565,-36793.80638817304,1.0,0.0,0.0
cosmx_bcc_xdonor_spot_0000001822,-191583.25759824913,-36407.15932934952,1.0,0.0,0.0
cosmx_bcc_xdonor_spot_0000001823,-191563.7815216941,-36083.31722408636,1.0,0.0,0.0
cosmx_bcc_xdonor_spot_0000001824,-191600.68941643095,-35701.45932934951,0.75,0.15,0.0
cosmx_bcc_xdonor_spot_0000001825,-191575.25759824913,-35338.61387480406,0.6818181818181818,0.0454545454545454,0.0
cosmx_bcc_xdonor_spot_0000001826,-191567.25191643095,-35058.97182934951,0.6875,0.0,0.0
cosmx_bcc_xdonor_spot_0000001827,-191541.3939618855,-34616.250238440414,0.6363636363636364,0.2727272727272727,0.0
cosmx_bcc_xdonor_spot_0000001828,-191607.3679878595,-34317.19504363523,1.0,0.0,0.0
cosmx_bcc_xdonor_spot_0000001829,-191529.63172412326,-33948.39009858028,1.0,0.0,0.0
cosmx_bcc_xdonor_spot_0000002105,-191172.44733966194,-42098.123459522016,0.9375,0.0,0.0625
cosmx_bcc_xdonor_spot_0000002106,-191210.75022427735,-41743.4311518297,1.0,0.0,0.0
cosmx_bcc_xdonor_spot_0000002107,-191225.24595077304,-41356.79012618869,1.0,0.0,0.0
cosmx_bcc_xdonor_spot_0000002108,-191209.83483966193,-41033.123459522016,1.0,0.0,0.0
