,CAF,CAM,Cortex_CCL21,Fibroblasts,Germinal_Center_Plasma_IgM_B_cell,High_Endothelial_Venules,M1_macrophages,Macrophages,Plasma_IgA,Plasma_IgG,T_cell,Tumor,Tumor_Keratin_Pearl
openst_spot_00005664,0.03508088750347132,2.530019828753978e-11,1.845113308462946e-15,2.363884854724442e-07,0.00012200449289371451,9.037212837000963e-15,9.881639130962051e-10,7.696603311301086e-12,1.845113308462946e-15,0.04010080650637765,1.845113308462946e-15,0.8962812202617109,0.028414843825885647
openst_spot_00005709,9.458004701930307e-11,0.20897754698334314,1.6498007423490854e-15,4.587512919864046e-15,0.0001181406863103254,1.6224909066470825e-11,8.185633507073143e-11,4.104045452241006e-10,1.6498007423490854e-15,0.02040555485772706,6.347835582086159e-08,0.6797999092562164,0.09069878413497359
openst_spot_00005725,1.7423275645677659e-15,2.324981154379628e-13,1.7423275645677659e-15,1.7423275645677659e-15,5.625777078102258e-10,7.69332661942097e-11,1.555011490943541e-11,6.072615951994655e-08,0.0009495739372357003,1.858831673200081e-10,4.352721165750274e-05,0.9990035069035266,3.33038023888418e-06
openst_spot_00005727,1.409696602063493e-07,4.024543402010864e-09,1.723377033219922e-15,0.0037653100877761705,0.033282328145414576,4.467496640781292e-11,3.966376763723726e-09,1.6957068648031393e-06,6.774572670980467e-10,0.015169125355290622,2.857871562791309e-11,0.947781390986419,6.941798737396106e-12
openst_spot_00005776,0.5144954935834699,2.3483626490678766e-13,1.8797253930950803e-15,1.019041250719278e-08,4.2711147944002123e-10,2.7938053201875538e-08,6.442865323056949e-05,7.145969850471302e-09,7.995603748581263e-13,0.1997056054887524,2.333043332520137e-11,0.23730159020444624,0.04843283634418715
openst_spot_00005786,0.14704816655908778,1.838939404863014e-15,1.838939404863014e-15,2.493216709730906e-05,6.061963909760609e-13,1.8806548175731497e-10,1.1754643088288577e-06,7.108725657901741e-07,1.838939404863014e-15,0.15732756164949024,1.3930780686014086e-10,0.6707061661104873,0.02489128684897771
openst_spot_00006017,1.806599398703892e-15,1.8357298197511153e-13,1.806599398703892e-15,1.806599398703892e-15,1.806599398703892e-15,1.806599398703892e-15,1.806599398703892e-15,1.1649917444675898e-13,1.806599398703892e-15,0.02714400395872351,1.806599398703892e-15,0.7255158049724849,0.24734019106847704
openst_spot_00006028,1.9475843153215794e-05,1.2459114387525525e-15,1.2459114387525525e-15,4.459749883031568e-05,1.2459114387525525e-15,1.2459114387525525e-15,1.2459114387525525e-15,1.2459114387525525e-15,1.2459114387525525e-15,0.9999359266580039,1.2459114387525525e-15,1.2459114387525525e-15,1.2459114387525525e-15
openst_spot_00006039,6.574836404600917e-14,0.15914059307761805,3.8937982105758416e-11,4.295365144334005e-10,1.6395155311432114e-15,3.126406277752562e-11,6.363829844318838e-12,3.810075833071692e-10,1.6395155311432114e-15,1.6395155311432114e-15,1.8385049281356706e-09,0.8408590260049864,3.781917101496615e-07
openst_spot_00006086,0.03617760392299142,0.3482103207835339,1.8226849333399465e-15,3.6179189404265743e-07,2.2405693303995586e-15,3.4417816552628816e-11,1.1404111585552976e-09,1.1275861574723053e-09,0.00015885928557548523,0.03156028537363084,2.1079152061742695e-11,0.5838925665131793,5.696593551662645e-12
openst_spot_00006178,1.7778592441806775e-13,0.012961587555883376,1.6729901299273806e-15,3.246150110477146e-13,1.6729901299273806e-15,1.6729901299273806e-15,1.6729901299273806e-15,1.6729901299273806e-15,1.6729901299273806e-15,1.6729901299273806e-15,1.6729901299273806e-15,0.987037921117399,4.9132620200256e-07
openst_spot_00006290,1.9240949348221655e-15,4.1704174490434094e-11,1.9240949348221655e-15,1.9240949348221655e-15,7.224851798415688e-13,1.9240949348221655e-15,2.273798163948655e-15,8.276627132969941e-14,1.9240949348221655e-15,1.9240949348221655e-15,7.194894261580084e-10,0.9635550383507222,0.03644496088726503
openst_spot_00006429,5.598624906091907e-09,0.22903455575340104,1.786454340939735e-15,1.2343709318877632e-12,0.00265497471670116,4.5612955603929264e-12,1.0289311671632057e-09,2.656334866730906e-10,1.786454340939735e-15,1.786454340939735e-15,1.6606889637125042e-09,0.5589307311429725,0.20937972982724576
openst_spot_00006446,1.8399261270266296e-15,4.760663569346848e-06,2.02850090854606e-09,1.8399261270266296e-15,1.8399261270266296e-15,2.2349870250987515e-09,1.3226855150872165e-11,0.0004596271114794249,1.8399261270266296e-15,0.008680453946484215,6.873721081641848e-09,0.9876169485360166,0.0032381985920072252
openst_spot_00006522,5.56834206230637e-05,1.737503777984468e-15,1.4602551265802299e-05,1.583669757859441e-05,1.737503777984468e-15,3.028377459942419e-10,9.606911949541229e-10,1.8522461004540518e-10,1.737503777984468e-15,0.008259990069396199,3.3953037005773317e-12,0.9916538855780523,2.3092989198160553e-10
