,Cancer.cells,Endothelial,Fibroblast,Melanocyte,MoMacDC,Normal.Kerat,Pericyte,PlasmaCell
cosmx_bcc_xdonor_spot_0000065812,1.160415849586409e-15,1.160415849586409e-15,2.578231137287996e-06,1.160415849586409e-15,1.160415849586409e-15,1.160415849586409e-15,0.21575892400884167,0.7842384977600153
cosmx_bcc_xdonor_spot_0000065813,1.5547756822302194e-15,0.08283012547112023,0.009255225082711429,4.86174596540021e-14,0.25872508905621217,1.5547756822302194e-15,0.6277022191079038,0.0214873412820008
cosmx_bcc_xdonor_spot_0000065814,0.8657605737826799,0.02287016454730833,0.10955869687881202,4.2648715522812576e-08,1.921025041611432e-15,1.921025041611432e-15,0.001810522142478303,1.921025041611432e-15
cosmx_bcc_xdonor_spot_0000065815,0.9625475529684753,6.271586576968988e-05,1.8757035150644916e-15,1.8757035150644916e-15,0.016842065487146292,1.8757035150644916e-15,0.020547665678600967,1.8757035150644916e-15
cosmx_bcc_xdonor_spot_0000065816,0.8980899203022775,0.034190835370806506,1.910897918364513e-15,4.404532764048667e-07,0.06771836124069787,1.910897918364513e-15,4.426329359004431e-07,1.910897918364513e-15
cosmx_bcc_xdonor_spot_0000065817,0.9692955410297204,0.0277274003493632,1.887150354367781e-15,1.707037631397243e-06,0.002970966154240449,2.0856545227034651e-07,4.176863588501736e-06,1.887150354367781e-15
cosmx_bcc_xdonor_spot_0000065818,0.8520180355935643,0.0699608667298777,1.902955384992807e-15,0.030568116149303187,0.0449560701903506,2.9552848065781983e-08,4.2173687240722615e-08,0.0024968396103670406
cosmx_bcc_xdonor_spot_0000065819,0.8053730136476487,0.1110327405227905,0.008845523159257055,0.07226347465887493,0.0024852480114225363,2.082364249930943e-15,2.082364249930943e-15,2.082364249930943e-15
cosmx_bcc_xdonor_spot_0000065820,0.5558188173341909,0.20311992290692904,0.13805649145736112,0.05764270029963123,0.012866379195612534,1.016296342582639e-11,0.03249568879611013,2.1576305255317213e-15
cosmx_bcc_xdonor_spot_0000065821,0.03736172031128822,0.4478636332881816,0.35886761179652327,1.2089732264556254e-07,0.07041668440412804,1.1513091518344663e-09,0.08549022815124464,2.2341341193407284e-15
cosmx_bcc_xdonor_spot_0000065822,0.0002299692341549003,0.23854885978061682,0.5907580782525405,1.9290111128300594e-15,0.1686518138997215,0.001804353913592213,6.924919369978254e-06,1.9290111128300594e-15
cosmx_bcc_xdonor_spot_0000065823,2.0705607100840063e-15,0.1045481082917988,0.31904800535597655,0.043048750210423765,0.5316263181943619,2.0705607100840063e-15,0.0017288179474327422,2.0705607100840063e-15
cosmx_bcc_xdonor_spot_0000065824,0.009962758252065464,0.03925072251275727,0.30508253932374163,0.025676780312564165,0.6200271875201453,2.158749285775733e-15,1.2078721658138835e-08,2.158749285775733e-15
cosmx_bcc_xdonor_spot_0000065825,5.923440430560723e-14,0.1034337989417654,0.3954860699984169,0.02385948882827177,0.4770977236133113,4.852974377271019e-05,7.438887440071251e-05,1.984161746332837e-15
cosmx_bcc_xdonor_spot_0000065826,4.226544716045982e-15,1.8355475265712165e-11,0.3940151144904736,2.158251544306497e-06,0.6059827272396164,1.892584335444178e-15,1.892584335444178e-15,1.892584335444178e-15
cosmx_bcc_xdonor_spot_0000065827,1.7386760132752491e-15,1.7386760132752491e-15,0.3313996370176413,1.7386760132752491e-15,0.6686003629823155,1.7386760132752491e-15,3.439737635565278e-14,1.7386760132752491e-15
cosmx_bcc_xdonor_spot_0000065828,0.012081968910678871,0.044108641049741576,0.4935418795595729,9.019206585385212e-07,0.4502666084687449,1.9609942499151426e-15,9.059920953297309e-11,1.9609942499151426e-15
cosmx_bcc_xdonor_spot_0000065829,1.3339397762648008e-15,1.3339397762648008e-15,0.9999999996258339,1.3339397762648008e-15,3.741579468622175e-10,1.3339397762648008e-15,1.3339397762648008e-15,1.3339397762648008e-15
cosmx_bcc_xdonor_spot_0000065830,1.1653144787491133e-15,1.1653144787491133e-15,0.9999999999999917,1.1653144787491133e-15,1.1653144787491133e-15,1.1653144787491133e-15,1.1653144787491133e-15,1.1653144787491133e-15
cosmx_bcc_xdonor_spot_0000065831,1.2143696222959908e-15,1.2143696222959908e-15,0.9999999999999913,1.2143696222959908e-15,1.2143696222959908e-15,1.2143696222959908e-15,1.2143696222959908e-15,1.2143696222959908e-15
